nft_phishing,source,label
0xf696ab3e4f9d52482b8350ffae67d21fda78e601,scamsniffer,1
0xbbd21d6eddc71151ff4a1d6c99a246ae45c05ef6,scamsniffer,1
0x9a3d3c15f89b4110b274c8b4d5e2e8ddf76ee962,scamsniffer,1
0x00005d0c9ac39db0798f6ca947202e5f55a10000,scamsniffer,1
0x088b11adb3fe9c7142e6d2944ffdc9e78c09d833,scamsniffer,1
0xbe8d7c46dbc772af4d24bb7457587ec09171803d,scamsniffer,1
0x9fe994c0847b2642f860b80c1089db96930985fd,scamsniffer,1
0xb8d263778daa72559caf22444ed477bde592a8b6,scamsniffer,1
0xea0ead526ea8e291a906d0085c4c89d20074d3e4,scamsniffer,1
0x11ad308ead5486c3bacc4ecc7ec4dbec4958162f,scamsniffer,1
0xd13797007bae65320c78f4ae92f5f595769d441f,scamsniffer,1
0x4b1c780947bf727899e85bfecb2d808fb27b9451,scamsniffer,1
0xfd17816c81d27f073c9185b3bfae7f850310903f,scamsniffer,1
0xdf6f7de40c9b8614eb080260aa658fb99adc8916,scamsniffer,1
0x73c5b15cd1c4099a21a714106d36bcb7b8a9ce84,scamsniffer,1
0xe5cd1e341ab501e3f0115b52beac941cadc7dce6,scamsniffer,1
0x8620d40610ea1a55e974daa60416fea5fe699d78,scamsniffer,1
0x000006d683610e61ad9ee4b487fae3904b392b9e,scamsniffer,1
0x61d9a39d56fbace4ddf26a738325ac046cf12652,scamsniffer,1
0x532143bd4d55856ecf4866fa9f882342e4fa920b,scamsniffer,1
0xdb789fd1d874544f5def146073bd70b830ab2230,scamsniffer,1
0x4fa3a7790ba17fc6cb2e49d74338ecdd920ab25f,scamsniffer,1
0x264363cfcd1ec5a0232558a41c560903d6a883b6,scamsniffer,1
0xa9af4652479792ee8cff54bff33033ba890f223f,scamsniffer,1
0xa663f5511d0d2f1b566dfbcf1d6ac11b276b4151,scamsniffer,1
0xc6661014373805405c54e96dcac2d51e00bd128c,scamsniffer,1
0x4e0179be22e84af4d3f9a792cf4d3f5832b63472,scamsniffer,1
0x9b56aaa0937047a211ad41b9ce5a4c0d731a442e,scamsniffer,1
0x7b2c84073582aa37b660ff5048915bc4a1fbd4e9,scamsniffer,1
0xe4c1ad47feace8d1246f8fdcdffcabcc879c4acf,scamsniffer,1
0xb05b23d5ce442481662ca0b270ee3c8946d304ca,scamsniffer,1
0x075d9bbefacb33b7b73ab8559989776fa0107bb8,scamsniffer,1
0xa0038f51429f1b6a72340ada2b317491cadc1546,scamsniffer,1
0x40337d3bab19ee820b46344be523a3a080921942,scamsniffer,1
0x81eb6617ddc5753830b05f8d3c24da3ee72c4395,scamsniffer,1
0x556786088f9874a4a52b478c5374cee901beb43d,scamsniffer,1
0x903cb5c4cd7fcebbd0097db439e15a4d65a98c58,scamsniffer,1
0x4c7984bd3999ca90eb16914bdd9db436a2a8a66a,scamsniffer,1
